Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Toilets,Agent_number,Added_on,Updated_on
Master Bedroom With Kitchen In Agungi Estate,Agungi Estate Agungi Lekki Lagos,https://www.propertypro.ng/property/house-for-rent-agungi-estate-agungi-lekki-lagos-8FKHW,Lagos,Lekki,"1,100,000", beds, baths, Toilets,08061641323,22 Sep 2021,19 Feb 2022
Lovely 2bedroom Flat,Alagbado Abule Egba Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-alagbado-abule-egba-lagos-8GBFX,Lagos,Egba,"300,000/year",2 beds,3 baths,3 Toilets,08033876086,13 Feb 2022,19 Feb 2022
3 Bedroom Flat,Thomas Estate Thomas Estate Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-thomas-estate-thomas-estate-ajah-lagos-4FXYT,Lagos,Ajah,"1,000,000/year",3 beds,3 baths,3 Toilets,07065454863,20 Jan 2022,19 Feb 2022
Self Contain,Ologolo Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ologolo-lekki-lagos-2GAVZ,Lagos,Lekki,"600,000/year", beds, baths, Toilets,09019001143,10 Feb 2022,19 Feb 2022
Newly Built Mini Flat,Alagomeji Alagomeji Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-alagomeji-alagomeji-yaba-lagos-3GARH,Lagos,Yaba,"1,200,000/year",1 beds,1 baths,1 Toilets,08062371593,09 Feb 2022,19 Feb 2022
New House,Ikota Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ikota-lekki-lagos-9FZEM,Lagos,Lekki,"2,200,000",2 beds,0 baths,0 Toilets,08126572402,29 Jan 2022,19 Feb 2022
Nice 1 Bedroom Flat,Located Close To Redeemer School Lugbe Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-located-close-to-redeemer-school-lugbe-abuja-1GAHQ,Abuja,Lugbe,"550,000/year",1 beds,2 baths,2 Toilets,08066627552,07 Feb 2022,19 Feb 2022
Luxury 2 Bedroom Apartment,Lagos Island Lagos Island Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lagos-island-lagos-island-lagos-6FEBH,Lagos,Island,"112,000,000",2 beds,2 baths,3 Toilets,08050606090,13 Aug 2021,24 Feb 2022
Lovely 4 Bedroom Terrace Duplex,By World Oil Ilasan Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-by-world-oil-ilasan-lekki-lagos-6FVJD,Lagos,Lekki,"5,000,000/year",4 beds,4 baths,5 Toilets,08104317542,22 Dec 2021,19 Feb 2022
Newly Built Exotic Room And Parlor,"Akoto Estate, Elebu Oluyole Extension Akala Express Ibadan Oyo",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-akoto-estate-elebu-oluyole-extension-akala-express-ibadan-oyo-2FYPC,Oyo,Ibadan,"450,000/year",1 beds,0 baths,0 Toilets,07037117785,25 Jan 2022,19 Feb 2022
Nicely Built 4 Bedroom Duplex,Mayfair Gardens Estate Awoyaya Eputu Ibeju Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-mayfair-gardens-estate-awoyaya-eputu-ibeju-lekki-lagos-5FYTD,Lagos,Lekki,"2,500,000/year",4 beds,4 baths,5 Toilets,08066187389,26 Jan 2022,19 Feb 2022
Decent 4 Bedroom Detached Duplex With A Room Bq,Millenuim Ups Gbagada Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-millenuim-ups-gbagada-lagos-1FXBN,Lagos,Gbagada,"4,000,000/year",4 beds,4 baths,5 Toilets,08148495671,13 Jan 2022,19 Feb 2022
3 Bedroom Luxury Apartments,Lakepoint Apartments Banana Island Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lakepoint-apartments-banana-island-banana-island-ikoyi-lagos-6GAWB,Lagos,Ikoyi,"25,000,000/year",3 beds,3 baths,4 Toilets,08038479985,10 Feb 2022,19 Feb 2022
Luxury 4 Bedroom Duplex Fully Furnished,Located By The Second Toll Gate Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-located-by-the-second-toll-gate-chevron-lekki-lagos-2FWJS,Lagos,Lekki,"6,000,000/year",4 beds,4 baths,5 Toilets,08164968133,06 Jan 2022,19 Feb 2022
3bedroom Flat,"Near Leadway Assurance Plc, Estate Alaka Iponri Surulere Lagos",https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-near-leadway-assurance-plc-estate-alaka-iponri-surulere-lagos-3FXFP,Lagos,Surulere,"2,700,000/year",3 beds,3 baths,3 Toilets,09060631614,14 Jan 2022,19 Feb 2022
Miniflat,Ojodu Berger Ojodu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ojodu-berger-ojodu-lagos-7GANK,Lagos,Ojodu,"500,000/year",1 beds,1 baths,1 Toilets,09039408141,08 Feb 2022,19 Feb 2022
Semi Detached 5bedroom Duplex With 3bedroom B/q,3rd Avenue Gwarinpa Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-3rd-avenue-gwarinpa-abuja-1GAFQ,Abuja,Gwarinpa,"7,000,000",5 beds, baths, Toilets,07067964004,06 Feb 2022,19 Feb 2022
Open Plan Office Space Available,Olubunmi Owa Street Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-olubunmi-owa-street-lekki-phase-1-lekki-lagos-2FPDN,Lagos,Lekki,"55,000/sqm", beds, baths, Toilets,09098636052,26 Oct 2021,19 Feb 2022
Mini Flat (room And Palour),Anu Crescent Badore Ajah Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-anu-crescent-badore-ajah-lagos-0FZUF,Lagos,Ajah,"700,000", beds, baths,2 Toilets,09019130737,03 Feb 2022,19 Feb 2022
Recently Renovated City View 4 Bedroom Apartment + Bq + Gym + Tennis Court + Squash + Pool+gym Etc In Ocean Parade Banana Island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,"12,000,000",4 beds,4 baths,5 Toilets,08124269637,23 Dec 2021,24 Feb 2022
Newly Built Room Self Contain,Ebute Metta Adekunle Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ebute-metta-adekunle-yaba-lagos-6FZQU,Lagos,Yaba,"400,000/year",1 beds,1 baths,1 Toilets,08062371593,02 Feb 2022,19 Feb 2022
Luxury And Executive 2 / 3 Bedroom,Off Masha Kilo Road Kilo Marsha Surulere Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-off-masha-kilo-road-kilo-marsha-surulere-lagos-8FNFE,Lagos,Surulere,"1,700,000/year",0 beds,0 baths,0 Toilets,08033149535,18 Oct 2021,19 Feb 2022
Decent Brand New 3bedroom Flat,Mende Maryland Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-mende-maryland-lagos-1FUXG,Lagos,Maryland,"1,800,000",0 beds,0 baths,0 Toilets,08033115125,16 Dec 2021,19 Feb 2022
Self Contain & Mini Flat,University Estate By Lbs Sangotedo Lbs Ibeju Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-university-estate-by-lbs-sangotedo-lbs-ibeju-lekki-lagos-3FXJC,Lagos,Lekki,"800,000",0 beds,0 baths,0 Toilets,07084372290,15 Jan 2022,19 Feb 2022
Newly Built 2bedroom Flat,"Oke Ibukun, Elebu Oluyole Extension Akala Express Ibadan Oyo",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-oke-ibukun-elebu-oluyole-extension-akala-express-ibadan-oyo-7FYSL,Oyo,Ibadan,"600,000/year",2 beds,0 baths,0 Toilets,07037117785,26 Jan 2022,19 Feb 2022
Mini Flat,Bada Iyana Ipaja Ipaja Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-bada-iyana-ipaja-ipaja-lagos-8FKJR,Lagos,Ipaja,"300,000/year",0 beds,0 baths,0 Toilets,08033876086,22 Sep 2021,19 Feb 2022
Shared Apartment,Rockstone Estate Badore Ajah Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-rockstone-estate-badore-ajah-lagos-1GABQ,Lagos,Ajah,"300,000", beds, baths,1 Toilets,09019130737,04 Feb 2022,19 Feb 2022
Lovely Newly Built 2 Bedroom Flat,Glory Estate Command Ipaja Lagos Ipaja Ipaja Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-glory-estate-command-ipaja-lagos-ipaja-ipaja-lagos-5FWRX,Lagos,Ipaja,"600,000",2 beds,2 baths,2 Toilets,08180050503,10 Jan 2022,19 Feb 2022
Well Finished 1 Bedroom Flat,Gudu Extension Apo Abuja,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-gudu-extension-apo-abuja-2GAGK,Abuja,Apo,"1,500,000/year",1 beds,1 baths,0 Toilets,08147562407,06 Feb 2022,19 Feb 2022
Furnished 3 Bedroom Semi Detached Duplex,"N02w 3, Brains And Hammers City Life Camp Abuja",https://www.propertypro.ng/property/3-bedroom-house-for-shortlet-n02w-3-brains-and-hammers-city-life-camp-abuja-0FKTS,Abuja,Camp,"70,000/day",3 beds,3 baths,4 Toilets,09057237982,26 Sep 2021,22 Feb 2022
Shop,Fujah Street Off Randle Avenue Surulere Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-fujah-street-off-randle-avenue-surulere-lagos-7FXFH,Lagos,Surulere,"250,000/year",0 beds,0 baths,0 Toilets,09060631614,14 Jan 2022,19 Feb 2022
Tastefully 5bedroom Duplex + Bq Serviced,Located At Lekki Phase 1 Right Hand Side By Oniru Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-located-at-lekki-phase-1-right-hand-side-by-oniru-lekki-phase-1-lekki-lagos-7FWET,Lagos,Lekki,"6,000,000/year",5 beds,5 baths,6 Toilets,08164968133,05 Jan 2022,19 Feb 2022
Newly Built Mini Flats And 2bedrooms,Olowora Ojodu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-olowora-ojodu-lagos-7FQHY,Lagos,Ojodu,"800,000/year",0 beds,0 baths,0 Toilets,07081528035,05 Nov 2021,19 Feb 2022
"A Modern Finished Relatively Brand New 2bedroomflat All Rooms Ensuite, Lovely Kitchen With Fitted Kitchen Cabinets, Ample Parking Space In A Miniestate At, Secure And Calm Neighborhood",Off Dunni Street Alapere Kosofe Ikosi Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-off-dunni-street-alapere-kosofe-ikosi-lagos-3FTKA,Lagos,Ikosi,"1,200,000", beds, baths, Toilets,08033657909,02 Dec 2021,19 Feb 2022
Newly Built Room And Parlour Self Contain At Ringroad Adeoyo,Adeoyo Ringroad Ring Rd Ibadan Oyo,https://www.propertypro.ng/property/house-for-rent-adeoyo-ringroad-ring-rd-ibadan-oyo-3EYXD,Oyo,Ibadan,"350,000/year", beds, baths, Toilets,08147747114,05 Jul 2021,19 Feb 2022
Newly Built And Tastefully Finished 2 Bedroom Flat,Kajola Lakowe Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-kajola-lakowe-ajah-lagos-3FYYG,Lagos,Ajah,"1,000,000/year",2 beds,2 baths,3 Toilets,07065454863,27 Jan 2022,19 Feb 2022
Commercial Space,Challenge Ring Rd Ibadan Oyo,https://www.propertypro.ng/property/commercial-property-for-rent-challenge-ring-rd-ibadan-oyo-5FDPR,Oyo,Ibadan,"4,000,000/year",0 beds,0 baths,6 Toilets,08187281313,10 Aug 2021,19 Feb 2022
Newly Built 2 Bedroom Flat,Valley View Estate Ebute Ikorodu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-valley-view-estate-ebute-ikorodu-lagos-7GAXQ,Lagos,Ikorodu,"500,000/year",2 beds,2 baths,3 Toilets,08177520676,10 Feb 2022,19 Feb 2022
Newly Built 2 Bedroom Flat Apartment,Lamination Ayobo Ipaja Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lamination-ayobo-ipaja-lagos-3FXBU,Lagos,Ipaja,"500,000/year",2 beds,3 baths,3 Toilets,08135357500,13 Jan 2022,19 Feb 2022
A Room Shared Apartment,Beside Bakare Estate Agungi Lekki Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-beside-bakare-estate-agungi-lekki-lagos-2FZRU,Lagos,Lekki,"500,000",1 beds,1 baths,1 Toilets,08086267650,02 Feb 2022,19 Feb 2022
Newly Built To Taste 5bedroom Duplex,Ocean Breeze Estate Ologolo Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ocean-breeze-estate-ologolo-lekki-lagos-0FXDN,Lagos,Lekki,"7,000,000/year",5 beds,5 baths,6 Toilets,08168285322,13 Jan 2022,19 Feb 2022
Recently Renovated City View 4 Bedroom Apartment + Bq + Gym + Tennis Court + Squash + Pool+gym Etc In Ocean Parade Banana Island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,"12,000,000",4 beds,4 baths,5 Toilets,08124269637,23 Dec 2021,24 Feb 2022
Decent Mini Flat,Olaleye Street Shomolu Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-olaleye-street-shomolu-lagos-1FTJT,Lagos,Shomolu,"600,000/year",0 beds,0 baths,0 Toilets,08084789565,02 Dec 2021,19 Feb 2022
Brand New 2 Bedroom Flat,Ishaga Road Iju Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ishaga-road-iju-lagos-2ERAK,Lagos,Iju,"1,200,000",0 beds,0 baths,0 Toilets,08033149535,10 May 2021,19 Feb 2022
Lovely 2bedroom Flat,Norma William Ikoyi S.w Ikoyi Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-norma-william-ikoyi-sw-ikoyi-lagos-4FYEJ,Lagos,Ikoyi,"2,000,000",2 beds,0 baths,0 Toilets,08126572402,21 Jan 2022,19 Feb 2022
2 Bedroom Duplex,Agungi Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-agungi-lekki-lagos-4FXFF,Lagos,Lekki,"2,500,000/year",2 beds,2 baths,3 Toilets,08168285322,14 Jan 2022,19 Feb 2022
Tastesfully Built Mini Flat,Itele Ogun State Close To Ayobo Lagos Ayobo Ipaja Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-itele-ogun-state-close-to-ayobo-lagos-ayobo-ipaja-lagos-3GACP,Lagos,Ipaja,"250,000",1 beds,1 baths,1 Toilets,08180050503,05 Feb 2022,19 Feb 2022
Elegant 3 Bedroom Apartment,Spg Road Ologolo Ologolo Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-spg-road-ologolo-ologolo-lekki-lagos-5FXXA,Lagos,Lekki,"3,000,000",3 beds,3 baths,5 Toilets,08038479985,19 Jan 2022,19 Feb 2022
Brand New Spacious Ensuites Miniflat,Iwaya Yaba Lagos,https://www.propertypro.ng/property/1-bedroom-house-for-rent-iwaya-yaba-lagos-8FZCV,Lagos,Yaba,"900,000/year",1 beds,2 baths,2 Toilets,08148495671,29 Jan 2022,19 Feb 2022
5 Bedroom Fully Detached Duplex,Cornelius Odinour Street Chevy View Estate Chevron Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-cornelius-odinour-street-chevy-view-estate-chevron-lekki-lagos-5FVBG,Lagos,Lekki,"7,000,000/year",5 beds,5 baths,6 Toilets,08104317542,18 Dec 2021,19 Feb 2022
"Well Maintained, Spacious, 3bedroom Terraced Duplex",Vgc Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-vgc-lekki-lagos-6FXQR,Lagos,Lekki,"3,000,000/year",3 beds,3 baths,4 Toilets,08057121358,18 Jan 2022,19 Feb 2022
2 Bedroom Block Of Flats.,Agungi Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-sale-agungi-lekki-lagos-0FTTJ,Lagos,Lekki,"48,000,000",2 beds,2 baths,3 Toilets,08147329552,06 Dec 2021,24 Feb 2022
1 Bedroom Apartment,Ogombo Ogombo Ajah Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-ogombo-ogombo-ajah-lagos-1GAZX,Lagos,Ajah,"500,000",1 beds,0 baths,0 Toilets,09151794889,11 Feb 2022,19 Feb 2022
Very Nice Brand New Self Contain,Ebute Metta Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ebute-metta-yaba-lagos-0FKWM,Lagos,Yaba,"400,000/year",0 beds,0 baths,0 Toilets,09083016090,27 Sep 2021,19 Feb 2022
2 Units Of Room Self Contain,"Egberongbe, Pedro Axis, Shomolu Lagos",https://www.propertypro.ng/property/house-for-rent-egberongbe-pedro-axis-shomolu-lagos-6FFYM,Lagos,Shomolu,"400,000",0 beds,0 baths,0 Toilets,07031567993,27 Aug 2021,19 Feb 2022
2 Bedroom Duplex,Shomolu Shomolu Shomolu Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-shomolu-shomolu-shomolu-lagos-7FWTM,Lagos,Shomolu,"800,000",2 beds,1 baths,2 Toilets,08130986430,10 Jan 2022,19 Feb 2022
Shop,Gbagada Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-gbagada-lagos-8GBLN,Lagos,Gbagada,"250,000",0 beds,0 baths,0 Toilets,07082736278,15 Feb 2022,19 Feb 2022
Brand New 2 Bedroom Flat With (a Bq) Servant Quarter,Off Covenant Way Behind Enyo Filling Station Elegushi Ikate Lekki Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-off-covenant-way-behind-enyo-filling-station-elegushi-ikate-lekki-lagos-2FXYE,Lagos,Lekki,"3,800,000/year",2 beds,2 baths,3 Toilets,09060631614,20 Jan 2022,19 Feb 2022
Newly Built 2 Bedroom Flat,Off Lala Avenue Bodija Ibadan Bodija Ibadan Oyo,https://www.propertypro.ng/property/2-bedroom-house-for-rent-off-lala-avenue-bodija-ibadan-bodija-ibadan-oyo-6FVVR,Oyo,Ibadan,"500,000/year",2 beds,2 baths,2 Toilets,08089882299,30 Dec 2021,19 Feb 2022
Standard And Spacious 2 Bedroom Flat,News Engineering Gwarinpa Abuja,https://www.propertypro.ng/property/2-bedroom-house-for-rent-news-engineering-gwarinpa-abuja-0GAHU,Abuja,Gwarinpa,"1,800,000/year",2 beds,2 baths,3 Toilets,09070732024,07 Feb 2022,19 Feb 2022
Fully Serviced 4 Bedroom Maisonette,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-ikoyi-lagos-4FZPD,Lagos,Ikoyi,"14,000,000/year",4 beds,4 baths,5 Toilets,08104317542,01 Feb 2022,19 Feb 2022
Exquisitely Built 3 Bedroom Flat,Amuwo Odofin Amuwo Odofin Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-amuwo-odofin-amuwo-odofin-lagos-8FXAS,Lagos,Odofin,"1,900,000/year",3 beds,3 baths,4 Toilets,09012934533,12 Jan 2022,19 Feb 2022
Newly Built 2bedroom Flat,Elekahia Port Harcourt Rivers,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-elekahia-port-harcourt-rivers-6FYFN,Rivers,Harcourt,"750,000/year",2 beds,3 baths,3 Toilets,07062360342,22 Jan 2022,19 Feb 2022
High Class 3 Bedroom Apartment + Bq+ Tennis +squash+gym+etc @n20m,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7FXZF,Lagos,Ikoyi,"20,000,000",3 beds,3 baths,4 Toilets,08124269637,20 Jan 2022,24 Feb 2022
Standard Room Self Contain At Femi Okunnu Estate Phase 4,Femi Okunnu Estate Phase 4 Osapa London Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-femi-okunnu-estate-phase-4-osapa-london-lekki-lagos-3FQYR,Lagos,Lekki,"850,000", beds, baths, Toilets,08061641323,11 Nov 2021,19 Feb 2022
3bedroom Flat,Oduduwa Street Kilo Kilo Marsha Surulere Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-oduduwa-street-kilo-kilo-marsha-surulere-lagos-6GAAC,Lagos,Surulere,"800,000/year",3 beds,2 baths,2 Toilets,08028895806,04 Feb 2022,19 Feb 2022
4 Bedroom Terrace Duplex,Ogunbiyi Street Ikeja Gra Ikeja Lagos,https://www.propertypro.ng/property/house-for-rent-ogunbiyi-street-ikeja-gra-ikeja-lagos-8FLYN,Lagos,Ikeja,"7,000,000",0 beds,0 baths,0 Toilets,08033876086,07 Oct 2021,19 Feb 2022
A Room Selfcontain,Mobile Road Ajah Abraham Adesanya Estate Ajah Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-mobile-road-ajah-abraham-adesanya-estate-ajah-lagos-3GAAN,Lagos,Ajah,"400,000/year",1 beds,1 baths,1 Toilets,08137805434,04 Feb 2022,19 Feb 2022
Newly Built 2bedroom Flat,Nta Port Harcourt Rivers,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-nta-port-harcourt-rivers-8FZEY,Rivers,Harcourt,"800,000/year",2 beds,3 baths,3 Toilets,07062360342,30 Jan 2022,19 Feb 2022
Executive Built 3bedroom Flat,Atere Estate Akala Express Ibadan Oyo,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-atere-estate-akala-express-ibadan-oyo-8FZGA,Oyo,Ibadan,"500,000/year",3 beds,4 baths,4 Toilets,08142185274,30 Jan 2022,19 Feb 2022
Luxury Serviced 3 Bedroom All Rooms En Suite Terrace Duplex Plus A Room Bq,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-7FYMY,Lagos,Lekki,"5,000,000",3 beds,3 baths,4 Toilets,08164687732,25 Jan 2022,19 Feb 2022
Executive 4 Bedroom Flat,Magodo Ph1 Via Ikeja Ikeja Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-magodo-ph1-via-ikeja-ikeja-lagos-6FYAJ,Lagos,Ikeja,"1,800,000/year",4 beds,5 baths,5 Toilets,09068622049,20 Jan 2022,19 Feb 2022
2 Bedroom Flat,Onanefe Estate Ado Ajah Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-onanefe-estate-ado-ajah-lagos-1FYNN,Lagos,Ajah,"1,200,000",2 beds, baths,3 Toilets,09019130737,25 Jan 2022,19 Feb 2022
Dry Land,Ajah Lagos,https://www.propertypro.ng/property/land-for-sale-ajah-lagos-0GAQA,Lagos,Ajah,"40,000,000",0 beds,0 baths,0 Toilets,08103254940,09 Feb 2022,19 Feb 2022
2 Bedroom Flat New House At Sparklight Estate For #800,Sparklight Isheri North Ojodu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-sparklight-isheri-north-ojodu-lagos-7FYVR,Lagos,Ojodu,"800,000/year",2 beds,2 baths,3 Toilets,09039408141,27 Jan 2022,19 Feb 2022
2 Bedroom Flat,"Moses Street, Macaulay Igbogbo Ikorodu Lagos",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-moses-street-macaulay-igbogbo-ikorodu-lagos-4GBGQ,Lagos,Ikorodu,"250,000/year",2 beds,2 baths,2 Toilets,08177520676,14 Feb 2022,19 Feb 2022
Newly Built 2 Bedroom Flat,Wuye Abuja,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-wuye-abuja-2FYZC,Abuja,Wuye,"2,500,000/year",2 beds,2 baths,3 Toilets,08065859043,28 Jan 2022,19 Feb 2022
4 Bedroom Underground Duplex,Peace Court Estate Lokogoma Abuja,https://www.propertypro.ng/property/house-for-rent-peace-court-estate-lokogoma-abuja-7FKXS,Abuja,Lokogoma,"2,000,000",0 beds,0 baths,0 Toilets,07062047199,28 Sep 2021,19 Feb 2022
Strategically Located Office Space,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/co-working-space-for-rent-lekki-phase-1-lekki-lagos-8GATA,Lagos,Lekki,"40,000/sqm",0 beds,5 baths,0 Toilets,07061423237,09 Feb 2022,19 Feb 2022
House,Bodija Ibadan Oyo,https://www.propertypro.ng/property/commercial-property-for-rent-bodija-ibadan-oyo-0FXFN,Oyo,Ibadan,"3,000,000",0 beds,0 baths,0 Toilets,08052778232,14 Jan 2022,19 Feb 2022
Furnished And Serviced 3 Bedroom Apartment,Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ikoyi-lagos-8GBAS,Lagos,Ikoyi,"10,000,000",3 beds,3 baths,4 Toilets,07080033884,11 Feb 2022,19 Feb 2022
Serviced 3 Bedroom Apartment,Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ikoyi-lagos-5GBAV,Lagos,Ikoyi,"10,000,000",3 beds,3 baths,4 Toilets,07080033884,11 Feb 2022,19 Feb 2022
4 Bedroom Terrace With A Room Bq,Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikoyi-lagos-1GBAS,Lagos,Ikoyi,"12,000,000",4 beds,4 baths,5 Toilets,07080033884,11 Feb 2022,19 Feb 2022
Newly Built 2 Bedroom Apartment,Ayobo Ipaja Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ayobo-ipaja-lagos-9GAPA,Lagos,Ipaja,"800,000",2 beds,3 baths,3 Toilets,08082821053,08 Feb 2022,19 Feb 2022
2 Bedroom Flat,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-lekki-phase-1-lekki-lagos-2FZXX,Lagos,Lekki,"2,500,000",0 beds,0 baths,0 Toilets,09076639164,03 Feb 2022,19 Feb 2022
Recently Renovated City View 4 Bedroom Apartment + Bq + Gym + Tennis Court + Squash + Pool+gym Etc In Ocean Parade Banana Island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,"12,000,000",4 beds,4 baths,5 Toilets,08124269637,23 Dec 2021,24 Feb 2022
Newly Renovated 4 Bedroom Terrace Duplex With Bq,Off Wole Olateju Crescent Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-off-wole-olateju-crescent-lekki-phase-1-lekki-lagos-3GAGQ,Lagos,Lekki,"8,500,000/year",4 beds,4 baths,5 Toilets,09098636052,06 Feb 2022,19 Feb 2022
4 Bedroom Fully Detached Office,Lekki Phase1 Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-commercial-property-for-rent-lekki-phase1-lekki-phase-1-lekki-lagos-7FYRT,Lagos,Lekki,"25,000,000/year",4 beds,4 baths,5 Toilets,08038125965,25 Jan 2022,19 Feb 2022
New Top Grade Fully Serviced Open Plan Office Space Measuring (138 & 170)sq.m,"On A High Street Directly Off Admiralty Way, Lekki Phase One Lekki Phase 1 Lekki Lagos",https://www.propertypro.ng/property/commercial-property-for-rent-on-a-high-street-directly-off-admiralty-way-lekki-phase-one-lekki-phase-1-lekki-lagos-1FEKC,Lagos,Lekki,"70,000/sqm",0 beds,0 baths,0 Toilets,09037794520,16 Aug 2021,19 Feb 2022
