Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Agent_number,Added_on,Updated_on
3 bedroom flat,Ikeja Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ikeja-lagos-1FYBZ,Lagos,Ikeja,3000000,3,3,8028761350,21 Jan 2022,24 Feb 2022
fully serviced 2 bedrooms duplex with bq,Ikate Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ikate-lekki-lagos-8FVUJ,Lagos,Lekki,3500000,2,2,8028761350,29 Dec 2021,24 Feb 2022
luxury built 5 bedroom detached duplex,7th Avenue Gwarinpa Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-sale-7th-avenue-gwarinpa-abuja-9GATE,Abuja,Gwarinpa,280000000,5,6,8065680218,09 Feb 2022,24 Feb 2022
nice and lovely room self contained,"Akinwunmi Street Off Dosumu, Off Lawanson Surulere Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-akinwunmi-street-off-dosumu-off-lawanson-surulere-lagos-0FZNC,Lagos,Surulere,350000,1,1,8180249383,01 Feb 2022,24 Feb 2022
clean mini flat,"Cele Bus Stop, Yakoyo Alagbole Ojodu Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-cele-bus-stop-yakoyo-alagbole-ojodu-lagos-9GCQA,Lagos,Ojodu,350000,1,1,8180249383,23 Feb 2022,24 Feb 2022
renovated block of city view 4 bedroom apartments,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-6FYSE,Lagos,Ikoyi,12000000,4,4,8124269637,26 Jan 2022,24 Feb 2022
serviced 3 bedroom apartment,Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-lagos-6FXPF,Lagos,Island,10000000,3,3,7048089360,17 Jan 2022,24 Feb 2022
lovely 3 bedroom flats,Off Omilani Inter Lock St Off Adeshina Rd Ijesha Surulere Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-off-omilani-inter-lock-st-off-adeshina-rd-ijesha-surulere-lagos-3FZAP,Lagos,Surulere,1500000,3,3,8180249383,28 Jan 2022,24 Feb 2022
4 bedroom duplex with bq,Ikate Lekki Lagos,https://www.propertypro.ng/property/house-for-rent-ikate-lekki-lagos-5FYCL,Lagos,Lekki,6500000,4,4,8028761350,21 Jan 2022,24 Feb 2022
standard mini flat,Obawole Ifako Ogba Ogba Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-obawole-ifako-ogba-ogba-lagos-7FZNN,Lagos,Ogba,300000,1,1,8180249383,01 Feb 2022,24 Feb 2022
mini flat,Okeowo Shomorin Street Gbagada Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-okeowo-shomorin-street-gbagada-lagos-3FZJQ,Lagos,Gbagada,700000,1,2,8180249383,31 Jan 2022,24 Feb 2022
newly built miniflat room and parlor,Abijo Gra Ajah Abijo Ajah Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-abijo-gra-ajah-abijo-ajah-lagos-5FXGU,Lagos,Ajah,550000,1,1,9022355254,14 Jan 2022,24 Feb 2022
premium 3 bedroom apartment,Ikoyi Falomo Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ikoyi-falomo-ikoyi-lagos-4GCCK,Lagos,Ikoyi,7500000,3,3,8124269637,20 Feb 2022,24 Feb 2022
newly built and tastefully finished mini flat upstairs,Off Olatilewa Street By Olufemi Street Ogunlana Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-off-olatilewa-street-by-olufemi-street-ogunlana-surulere-lagos-9GADM,Lagos,Surulere,800000,1,2,8081672062,05 Feb 2022,24 Feb 2022
4 bedroom semi detached terrace house + bq + parking for up to 4 cars,Central Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-central-ikoyi-old-ikoyi-ikoyi-lagos-3FYCW,Lagos,Ikoyi,8000000,4,4,8124269637,21 Jan 2022,24 Feb 2022
fresh 3 bedroom terrace house + pool+bq,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-ikoyi-lagos-2FYCM,Lagos,Ikoyi,13000000,3,3,8124269637,21 Jan 2022,24 Feb 2022
tastefully built 4 bedroom terrace duplex;,Richmond Estate Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-richmond-estate-ikate-lekki-lagos-0FZPP,Lagos,Lekki,8000000,4,4,8082163583,01 Feb 2022,24 Feb 2022
newly built room self contain,"Fashina Street, Iwaya Yaba Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-fashina-street-iwaya-yaba-lagos-1FZJQ,Lagos,Yaba,400000,1,1,8180249383,31 Jan 2022,24 Feb 2022
nicely built 4 bedroom semi detached duplex,Ikate Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-2FWJM,Lagos,Lekki,5500000,4,4,8082163583,06 Jan 2022,24 Feb 2022
brand new 4 bedroom terrace duplex with bq;,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-4FWUL,Lagos,Lekki,8000000,4,4,8082163583,10 Jan 2022,24 Feb 2022
3 bedroom terrace duplex,Ikota Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-4FUXZ,Lagos,Lekki,40000000,3,3,8140215129,17 Dec 2021,24 Feb 2022
standard 4bedroom detached duplex,Off Freedom Way Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/house-for-rent-off-freedom-way-lekki-phase-1-lekki-lagos-0FVFE,Lagos,Lekki,7000000,4,4,8028761350,21 Dec 2021,24 Feb 2022
nicely built 6 bedroom semi detached house,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/6-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-7FXNR,Lagos,Lekki,11000000,6,6,8082163583,17 Jan 2022,24 Feb 2022
serviced 2 bedroom flat,Osborne Foreshore Estate Ikoyi Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-osborne-foreshore-estate-ikoyi-lagos-1FYYL,Lagos,Ikoyi,5500000,2,2,8028761350,27 Jan 2022,24 Feb 2022
exquisitely and tastefully finished 5 bedroom detached duplex,Trans Amadi Port Harcourt Rivers,https://www.propertypro.ng/property/5-bedroom-house-for-rent-trans-amadi-port-harcourt-rivers-5GARN,Rivers,Harcourt,4000000,5,5,8177766115,09 Feb 2022,24 Feb 2022
4 units of 4 bedroom terraces with 1 room bq;,Parkview Estate Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-parkview-estate-ikoyi-lagos-9GBHU,Lagos,Ikoyi,7000000,4,4,8082163583,14 Feb 2022,24 Feb 2022
3 and 4 bedroom flat,Empire’s Court Ikoyi Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-empires-court-ikoyi-lagos-9FYJW,Lagos,Ikoyi,100000,4,4,8028761350,24 Jan 2022,24 Feb 2022
beautifully furnished 2 bedroom flat with bq,Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-lekki-lagos-7FYJW,Lagos,Lekki,15000000,2,2,8028761350,24 Jan 2022,24 Feb 2022
mini flat,Oniru Victoria Island Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-oniru-victoria-island-lagos-7FYYJ,Lagos,Island,2500000,1,1,8028761350,27 Jan 2022,24 Feb 2022
high class 3 bedroom apartment + bq+ tennis +squash+gym+etc @n20m,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7FXZF,Lagos,Ikoyi,20000000,3,3,8124269637,20 Jan 2022,24 Feb 2022
spacious 3 bedroom flat with 1 room bq,Thompson Avenue Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-thompson-avenue-ikoyi-lagos-9FXPG,Lagos,Ikoyi,12000000,3,3,8082163583,17 Jan 2022,24 Feb 2022
nicely built 4 bedroom terrace house;,Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-lagos-8FXSM,Lagos,Lekki,7000000,4,4,8082163583,18 Jan 2022,24 Feb 2022
newly built 5 bedroom semi detached duplex,Ikoyi Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ikoyi-lagos-4GANE,Lagos,Ikoyi,35000000,5,5,9062511340,08 Feb 2022,24 Feb 2022
lovely 3 bedroom maissonatte;,Ikate Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ikate-lekki-lagos-5FXWY,Lagos,Lekki,6000000,3,3,8082163583,19 Jan 2022,24 Feb 2022
2 units of 3 bedroom terrace duplex;,Ajah Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ajah-lagos-6GAWH,Lagos,Ajah,3500000,3,3,8082163583,10 Feb 2022,24 Feb 2022
newly built 4 bedroom detached duplex;,Ikota Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-0GAWT,Lagos,Lekki,6000000,4,4,8082163583,10 Feb 2022,24 Feb 2022
newly built smart 4bedroom terrace duplex with bq,Close To Ebeto Hotel Durumi Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-close-to-ebeto-hotel-durumi-abuja-3FSBB,Abuja,Durumi,4000000,4,4,8053979149,22 Nov 2021,24 Feb 2022
newly built 4 bedroom maisonette on 2 floors + bq+ gym+ pool + elevator @n13.5m,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-9FUVW,Lagos,Ikoyi,13500000,5,4,8124269637,16 Dec 2021,24 Feb 2022
newly built standard 4 bedroom terrence duplex with 1 room bq,Close To Coza Guzape Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-close-to-coza-guzape-abuja-7FVVU,Abuja,Guzape,5500000,4,4,8053979149,30 Dec 2021,24 Feb 2022
premium 3 bedroom apartment +bq+gym+pool,Banana Island Estate Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-estate-ikoyi-lagos-9FXNJ,Lagos,Ikoyi,13000000,3,3,8124269637,17 Jan 2022,24 Feb 2022
beautiful 3 bedroom apartment +bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-5FXJL,Lagos,Ikoyi,20000000,3,3,8124269637,15 Jan 2022,24 Feb 2022
functional ground floor 2 bedroom furnished apartment,Central Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-central-ikoyi-old-ikoyi-ikoyi-lagos-4FXQZ,Lagos,Ikoyi,8500000,2,2,8124269637,18 Jan 2022,24 Feb 2022
affordable newly built 3 bedroom apartment + bq,Parkview Estate Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-parkview-estate-ikoyi-lagos-9FXQZ,Lagos,Ikoyi,6500000,3,3,8124269637,18 Jan 2022,24 Feb 2022
premium 3 bedroom apartment + 2 living areas + bq + pool+ gym,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-2FXQW,Lagos,Ikoyi,10000000,3,3,8124269637,18 Jan 2022,24 Feb 2022
premium 4 bedroom penthouse apartment with double living area + pool,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-1FYBV,Lagos,Ikoyi,9000000,4,4,8124269637,21 Jan 2022,24 Feb 2022
newly built 5 bedroom semi penthouse +cinema+elevator+etc @n25m,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/5-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-6FVLT,Lagos,Ikoyi,25000000,5,5,8124269637,23 Dec 2021,24 Feb 2022
waterfront 3 bedroom apartment +bq + swimming pool + sauna + gym + underground parking,Ligali Ayorinde Victoria Island Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ligali-ayorinde-victoria-island-lagos-6FYCN,Lagos,Island,16100000,3,3,8124269637,21 Jan 2022,24 Feb 2022
well finished and serviced 4 terrace duplex with swimming pool,Royal Pine Estate Lekki Phase 2 Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-royal-pine-estate-lekki-phase-2-lekki-lagos-8FWMY,Lagos,Lekki,4500000,4,4,8160971667,07 Jan 2022,24 Feb 2022
brand new 3 bedroom bungalow,Asokoro Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-asokoro-abuja-6FWSQ,Abuja,Asokoro,6000000,3,3,8053979149,10 Jan 2022,24 Feb 2022
furnished 2 bedroom apartment + bq + pool+gym,Off Awolowo Road Ikoyi Ikoyi S.w Ikoyi Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-off-awolowo-road-ikoyi-ikoyi-sw-ikoyi-lagos-0FXDW,Lagos,Ikoyi,9000000,2,2,8124269637,13 Jan 2022,24 Feb 2022
serviced 4 bedroom detached house + pool + security,Central Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-central-ikoyi-old-ikoyi-ikoyi-lagos-8FYCQ,Lagos,Ikoyi,13000000,4,4,8124269637,21 Jan 2022,24 Feb 2022
same compound 2 bedroom flat,Ogudu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ogudu-lagos-4FYPX,Lagos,Ogudu,1200000,2,2,8180249383,25 Jan 2022,24 Feb 2022
newly renovated mini flat,Abati George Obele Lawanson Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-abati-george-obele-lawanson-surulere-lagos-7FYXD,Lagos,Surulere,500000,1,2,8180249383,27 Jan 2022,24 Feb 2022
2 bedrooms flat,Omole Phase 1 Ojodu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-omole-phase-1-ojodu-lagos-7FZHD,Lagos,Ojodu,1500000,2,3,8180249383,31 Jan 2022,24 Feb 2022
luxury 3 bedroom apartment+ bq,Ikoyi Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-ikoyi-lagos-5GBXM,Lagos,Ikoyi,10000000,3,3,8124269637,18 Feb 2022,24 Feb 2022
luxury 4 bedroom apartment +bq,Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-ikoyi-lagos-8GCDF,Lagos,Ikoyi,20000000,4,4,8124269637,20 Feb 2022,24 Feb 2022
"luxury, spacious and serviced 4 bedroom terrace duplex",Ajah Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-0FZPR,Lagos,Ajah,45000000,4,4,8160971667,01 Feb 2022,24 Feb 2022
luxury 4 bedroom waterfront apartment + bq+gym,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-0GCBJ,Lagos,Ikoyi,25000000,4,3,8124269637,19 Feb 2022,24 Feb 2022
3 bedroom apartment,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-7FZAC,Lagos,Ikoyi,23000000,3,3,8124269637,28 Jan 2022,24 Feb 2022
lovely mini flat,Chief Natufe Off Babs Animashaun Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-chief-natufe-off-babs-animashaun-surulere-lagos-7FYTL,Lagos,Surulere,450000,1,1,8180249383,26 Jan 2022,24 Feb 2022
newly built executive 2 bedroom apartment,Ogudu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ogudu-lagos-5FZHW,Lagos,Ogudu,1200000,2,2,8180249383,31 Jan 2022,24 Feb 2022
nicely renovated 4 bedrooms flat,Estate Medina Gbagada Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-estate-medina-gbagada-lagos-7FZHS,Lagos,Gbagada,3500000,4,4,8180249383,31 Jan 2022,24 Feb 2022
2 bedroom flat,Bola Street Ebute Metta Yaba Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-bola-street-ebute-metta-yaba-lagos-8FZHX,Lagos,Yaba,1200000,2,2,8180249383,31 Jan 2022,24 Feb 2022
newly built 3 bedrooms flat,Millenuim Ups Gbagada Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-millenuim-ups-gbagada-lagos-5FZHT,Lagos,Gbagada,3000000,3,3,8180249383,31 Jan 2022,24 Feb 2022
very decent and spacious 2 bedroom flat,Olumo Str Onike Yaba Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-olumo-str-onike-yaba-lagos-2FZMJ,Lagos,Yaba,1200000,2,2,8180249383,01 Feb 2022,24 Feb 2022
newly built spacious 2 bedroom flat,"Off Ogunlana Drive, Ogunlana Surulere Lagos",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-off-ogunlana-drive-ogunlana-surulere-lagos-2FZMS,Lagos,Surulere,1400000,2,2,8180249383,01 Feb 2022,24 Feb 2022
newly renovated alone in a compound 5 bedroom bungalow,Modupe Johnson Crescent Adeniran Ogunsanya Surulere Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-modupe-johnson-crescent-adeniran-ogunsanya-surulere-lagos-8FWHZ,Lagos,Surulere,5000000,5,5,8081672062,06 Jan 2022,24 Feb 2022
serviced 3 bedroom apartment,Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-lagos-9FXVU,Lagos,Lekki,4500000,3,3,9062511340,19 Jan 2022,24 Feb 2022
well finished serviced 4 bedroom terrace duplex with 1 room bq,Guzape Abuja,https://www.propertypro.ng/property/house-for-rent-guzape-abuja-1FBTJ,Abuja,Guzape,8000000,4,4,8053979149,26 Jul 2021,24 Feb 2022
standard 3bedrooms flat,Close To Game Village Kaura (games Village) Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-close-to-game-village-kaura-games-village-abuja-2GBWX,Abuja,Village),1700000,3,3,8053979149,18 Feb 2022,24 Feb 2022
4 bedroom semi detached terrace house,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FXKW,Lagos,Ikoyi,20000000,4,4,8124269637,16 Jan 2022,24 Feb 2022
two bedroom apartment,"Heritage Crescent Estate, Aboru Ipaja Lagos",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-heritage-crescent-estate-aboru-ipaja-lagos-3FYXH,Lagos,Ipaja,500000,2,2,8180249383,27 Jan 2022,24 Feb 2022
executive 2 bedroom flat,"Onadeko Street, Off Anjorin Ikate Surulere Lagos",https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-onadeko-street-off-anjorin-ikate-surulere-lagos-6FZJG,Lagos,Surulere,1200000,2,2,8180249383,31 Jan 2022,24 Feb 2022
spacious room and palour self contain,Muyiwa Opaleye Street Aguda Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-muyiwa-opaleye-street-aguda-surulere-lagos-2FZJR,Lagos,Surulere,400000,1,1,8180249383,31 Jan 2022,24 Feb 2022
4 bedroom semi detached house,Ikota Lekki Lagos,https://www.propertypro.ng/property/house-for-rent-ikota-lekki-lagos-2FYBZ,Lagos,Lekki,70000000,4,4,8028761350,21 Jan 2022,24 Feb 2022
newly built 3 bedroom apartment,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-ikoyi-lagos-6FYCJ,Lagos,Ikoyi,15000000,3,3,9062511340,21 Jan 2022,24 Feb 2022
2 bedroom duplex,Unity Estate Egbeda Alimosho Lagos,https://www.propertypro.ng/property/2-bedroom-house-for-rent-unity-estate-egbeda-alimosho-lagos-7FZHQ,Lagos,Alimosho,1300000,2,2,8180249383,31 Jan 2022,24 Feb 2022
standard 3bedroom flat,Close To River State House Asokoro Abuja,https://www.propertypro.ng/property/3-bedroom-house-for-rent-close-to-river-state-house-asokoro-abuja-5GCAR,Abuja,Asokoro,4000000,3,3,8053979149,19 Feb 2022,24 Feb 2022
exquisite and well built 5 bedroom duplex with 1 bedroom quest chalet with 3 room bq,Aso Drive Asokoro Abuja,https://www.propertypro.ng/property/5-bedroom-house-for-rent-aso-drive-asokoro-abuja-8FVCE,Abuja,Asokoro,35000000,5,5,8053979149,19 Dec 2021,24 Feb 2022
spacious 5 bedroom detached house on 600sqm,Badore Ajah Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-badore-ajah-lagos-7FZLC,Lagos,Ajah,2500000,5,5,8160971667,31 Jan 2022,24 Feb 2022
5 bedroom house + 4 rooms bq + v.i.p. garage,Victoria Island Victoria Island Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-victoria-island-victoria-island-lagos-6FWYN,Lagos,Island,20000000,5,5,8124269637,12 Jan 2022,24 Feb 2022
a room self contain,Omole Phase 1 Ojodu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-omole-phase-1-ojodu-lagos-7FYXA,Lagos,Ojodu,500000,1,1,8180249383,27 Jan 2022,24 Feb 2022
premium 4 bedroom apartment with ample parking space,Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-ikoyi-lagos-3FWKW,Lagos,Ikoyi,15000000,4,4,9062511340,07 Jan 2022,24 Feb 2022
premium 3 bedroom terrace house + bq+ pool etc,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-ikoyi-lagos-4FXRE,Lagos,Ikoyi,11000000,3,3,8124269637,18 Jan 2022,24 Feb 2022
premium & newly built 3 bedroom maisonette on 2 floors +bq+pool+gym,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-7FYBK,Lagos,Ikoyi,10000000,3,3,8124269637,21 Jan 2022,24 Feb 2022
2 bedroom flat,Olu Osifeso Onike Yaba Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-olu-osifeso-onike-yaba-lagos-2FZHG,Lagos,Yaba,1200000,2,2,8180249383,31 Jan 2022,24 Feb 2022
well built 4 bedroom terraces duplex,Close To Coza Guzape Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-close-to-coza-guzape-abuja-5FXLR,Abuja,Guzape,4000000,4,4,8053979149,16 Jan 2022,24 Feb 2022
spacious 3 bedroom apartment,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-6FXUZ,Lagos,Lekki,9000000,3,3,9062511340,19 Jan 2022,24 Feb 2022
nice room self contain,Shomolu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-shomolu-lagos-9FZJL,Lagos,Shomolu,250000,1,1,8180249383,31 Jan 2022,24 Feb 2022
newly renovated mini flat,Near Traffic Light Ogudu Orike Ogudu Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-near-traffic-light-ogudu-orike-ogudu-lagos-1FYPX,Lagos,Ogudu,500000,1,1,8180249383,25 Jan 2022,24 Feb 2022
brand new stand alone standard 2 bedroom duplex,Naf Valley Estate Asokoro Abuja,https://www.propertypro.ng/property/2-bedroom-house-for-rent-naf-valley-estate-asokoro-abuja-8FYEY,Abuja,Asokoro,3000000,2,2,8053979149,22 Jan 2022,24 Feb 2022
nicely built 5 bedroom detached house,Chevy View Estate Chevron Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-rent-chevy-view-estate-chevron-lekki-lagos-1FXNM,Lagos,Lekki,6500000,5,5,8082163583,17 Jan 2022,24 Feb 2022
luxury 2 bedroom apartment,Lagos Island Lagos Island Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lagos-island-lagos-island-lagos-6FEBH,Lagos,Island,112000000,2,2,8050606090,13 Aug 2021,24 Feb 2022
brand new 2 bedroom flat,Fadeyi Yaba Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-fadeyi-yaba-lagos-4FYPZ,Lagos,Yaba,1000000,2,2,8180249383,25 Jan 2022,24 Feb 2022
newly built mini flat,"Jacob Str, Off Ojuelegba Surulere Lagos",https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-jacob-str-off-ojuelegba-surulere-lagos-3FZJM,Lagos,Surulere,700000,1,1,8180249383,31 Jan 2022,24 Feb 2022
luxury 3 bedroom apartment + bq,Central Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-central-ikoyi-old-ikoyi-ikoyi-lagos-8FYCW,Lagos,Ikoyi,10000000,3,3,8124269637,21 Jan 2022,24 Feb 2022
premium 3 bedroom apartment + pool + gym,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-0FXVB,Lagos,Ikoyi,11000000,3,3,8124269637,19 Jan 2022,24 Feb 2022
spacious exquisitely beautiful 4bedrooms terrace duplex with bq,Close To Fairview School Guzape Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-close-to-fairview-school-guzape-abuja-6FTXT,Abuja,Guzape,4000000,4,4,8053979149,07 Dec 2021,24 Feb 2022
3 bedroom serviced terrace duplex with a study room.,Osapa London Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-osapa-london-lekki-lagos-0FZSG,Lagos,Lekki,3800000,3,3,8082163583,02 Feb 2022,24 Feb 2022
2bedroom flat,Katampe Main Katampe Main Abuja,https://www.propertypro.ng/property/2-bedroom-house-for-rent-katampe-main-katampe-main-abuja-0GBYZ,Abuja,Main,2500000,2,2,8053979149,18 Feb 2022,24 Feb 2022
high end / top of the range 3 bedroom townhouse + bq,Off Queensdrive / Bourdillon Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/3-bedroom-house-for-rent-off-queensdrive-bourdillon-old-ikoyi-ikoyi-lagos-4FYCD,Lagos,Ikoyi,13000000,3,3,8124269637,21 Jan 2022,24 Feb 2022
2 bedroom flat,Unilag Back Gate Onike Yaba Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-unilag-back-gate-onike-yaba-lagos-0FZJR,Lagos,Yaba,1200000,2,2,8180249383,31 Jan 2022,24 Feb 2022
mini flat,Abule Ijesha Surulere Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-abule-ijesha-surulere-lagos-1FZHV,Lagos,Surulere,700000,1,1,8180249383,31 Jan 2022,24 Feb 2022
luxury 4 bedroom semi detached terrace house +pool+tennis,Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-ikoyi-lagos-4FYCH,Lagos,Ikoyi,20000000,4,4,8124269637,21 Jan 2022,24 Feb 2022
